ED,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
18,G00000164,5 AVE,NA,5 AVE,NA,116,128,117,127,426,geo,IN
2,G00000165,FLETCHER,NA,FLETCHER,NA,30,46,29,45,427,geo,IN
15,G00000167,SULLIVAN,NA,SULLIVAN,NA,166,204,167,205,429,geo,IN
8,G00000168,THOMPSON,NA,THOMPSON,NA,51,81,46,80,430,geo,IN
1,G00000169,PEARL,NA,PEARL,NA,55,73,54,70,431,geo,IN
6,G00000170,DOYERS,NA,DOYERS,NA,2,18,1,19,432,geo,IN
19,G00000175,YORK AVE,NA,YORK AVE,NA,NA,NA,NA,NA,437,geo,IN
15,G00000176,E 8,NA,E 8,CLINTON PL,12,28,13,29,438,geo,NA
12,G00000178,10 AVE,10 AVE,10 AVE,NA,NA,NA,NA,NA,440,geo,IN
12,G00000180,MORNINGSIDE AVE,NA,MORNINGSIDE AVE,NA,NA,NA,NA,NA,442,geo,IN
19,G00000181,9 AVE,NA,9 AVE,NA,723,725,722,724,443,geo,IN
2,G00000182,NASSAU,NA,NASSAU,NA,139,151,138,150,444,geo,IN
19,G00000183,E 52,NA,E 52,NA,NA,NA,NA,NA,445,geo,IN
18,G00000184,E 23,NA,E 23,NA,55,85,54,86,446,geo,IN
17,G00000186,CHRYSTIE,NA,CHRYSTIE,NA,1,15,2,16,448,geo,IN
16,G00000188,10 AVE,NA,10 AVE,NA,427,439,424,438,450,geo,IN
1,G00000192,PEARL,NA,PEARL,NA,33,53,32,52,453,geo,IN
19,G00000193,1 AVE,NA,1 AVE,NA,981,999,NA,NA,454,geo,IN
12,G00000194,E 89,NA,E 89,NA,NA,NA,NA,NA,455,geo,IN
17,G00000195,2 AVE,NA,2 AVE,NA,129,143,128,142,456,geo,IN
19,G00000198,AMSTERDAM AVE,NA,AMSTERDAM AVE,NA,NA,NA,NA,NA,459,geo,IN
17,G00000199,E 7,NA,E 7,NA,173,181,174,182,460,geo,IN
8,G00000200,HUDSON,NA,HUDSON,NA,323,339,324,344,461,geo,IN
1,G00000202,FRONT,NA,FRONT,NA,78,94,77,93,463,geo,IN
19,G00000205,E 62,NA,E 62,NA,NA,NA,NA,NA,466,geo,IN
19,G00000206,W 46,NA,W 46,NA,140,142,139,141,467,geo,IN
10,G00000210,HESTER,NA,HESTER,NA,80,94,79,93,471,geo,IN
12,G00000211,PARK AVE,NA,PARK AVE,NA,NA,NA,NA,NA,472,geo,IN
12,G00000212,E 112,NA,E 112,NA,NA,NA,NA,NA,473,geo,IN
10,G00000215,ESSEX,NA,ESSEX,NA,97,123,98,132,476,geo,IN
4,G00000217,OLIVER,NA,OLIVER,NA,16,32,13,33,478,geo,IN
12,G00000218,W 170,NA,W 170,NA,NA,NA,NA,NA,479,geo,IN
15,G00000226,WASHINGTON W SQ,MACDOUGAL,WASHINGTON W SQ,. CLEMENS PL,173,175,NA,NA,487,geo,IN
12,G00000227,C W P,NA,C W P,NA,NA,NA,NA,NA,488,geo,IN
12,G00000228,PARK AVE,NA,PARK AVE,NA,NA,NA,NA,NA,489,geo,IN
12,G00000231,PARK AVE,NA,PARK AVE,NA,NA,NA,NA,NA,492,geo,IN
15,G00000235,5 AVE,NA,5 AVE,NA,NA,NA,NA,NA,496,geo,IN
18,G00000236,1 AVE,NA,1 AVE,NA,315,329,324,340,497,geo,WN
19,G00000237,6 AVE,NA,6 AVE,NA,825,839,808,824,498,geo,WN
9,G00000238,GREENWICH AVE,NA,GREENWICH AVE,NA,119,131,120,132,499,geo,IN
2,G00000239,NASSAU,NA,NASSAU,NA,57,69,56,70,500,geo,IN
19,G00000240,5 AVE,NA,5 AVE,NA,NA,NA,NA,NA,501,geo,IN
