ED,Name,Min,Max
124,GRAND,35,70
124,THOMPSON,NA,NA
124,W BROADWAY,298,368
124,WATTS,NA,NA
124,WOOSTER,1,56
125,BROADWAY,419,608
125,BROOME,442,483
125,CANAL,286,362
125,GRAND,71,120
125,GREENE,1,152
125,HOWARD,42,54
125,MERCER,1,180
125,PRINCE,81,126
125,SPRING,88,142
125,W HOUSTON,1,63
125,WOOSTER,1,166
126,BARROW,2,63
126,BEDFORD,76,83
126,BLEECKER,280,295
126,COMMERCE,1,30
126,JONES,1,36
126,W 4,175,193
127,BLEECKER,254,279
127,CORNELIA,1,36
127,JONES,1,36
127,W 4,157,174
128,BEDFORD,NA,NA
128,BEDFORT,60,77
128,BLEECKER,271,279
128,COMMERCE,1,30
128,MORTON,1,27
129,BEDFORD,NA,NA
129,BEDFORT,46,61
129,BLEECKER,247,270
129,LEROY,1,37
129,MORTON,1,27
130,BARROW,60,89
130,BEDFORD,76,83
130,BEDFORT,60,77
130,COMMERCE,30,39
130,HUDSON,438,463
130,MORTON,29,70
131,BEDFORD,NA,NA
131,BEDFORT,46,61
131,HUDSON,420,445
131,LEROY,36,64
131,LUKES PL,NA,NA
131,MORTON,29,70
131,SAINT LUKES PL,NA,NA
132,BEDFORD,NA,NA
132,BEDFORT,32,45
132,CARMINE,NA,NA
132,CLARKSON,NA,NA
132,HUDSON,404,421
132,HUDSON PARK,NA,NA
132,LEROY,36,64
132,LUKES PL,NA,NA
132,SAINT LUKES PL,NA,NA
132,VARICK,NA,NA
133,6 AVE,NA,NA
133,BEDFORD,NA,NA
133,BEDFORT,NA,NA
133,CARMINE,NA,NA
133,CLARKSON,NA,NA
133,DOWNING,34,75
133,HUDSON,NA,NA
133,VARICK,206,230
133,W HOUSTON,179,276
134,BEDFORD,NA,NA
134,BEDFORT,24,37
134,BLEECKER,215,232
134,CARMINE,17,88
134,DOWNING,1,75
134,VARICK,NA,NA
135,6 AVE,NA,NA
135,BEDFORD,NA,NA
135,BEDFORT,NA,NA
135,BLEECKER,208,NA
135,DOWNING,1,35
135,HANCOCK,NA,NA
135,HANCOOK,1,33
135,W HOUSTON,163,178
136,BEDFORD,NA,NA
136,BEDFORT,32,45
136,BLEECKER,231,246
136,CARMINE,17,58
136,LEROY,1,37
137,6 AVE,NA,NA
