OBJECTID,MN_STREET1880_FULL_STREE,MN_STREET1880_Y1880NAMESTREET,MN_STREET1880_Y1880LEFT_LOW,MN_STREET1880_Y1880LEFT_HIGH,MN_STREET1880_Y1880RIGHT_LOW,MN_STREET1880_Y1880RIGHT_HIGH,MN_STREET1880_JOINID,MN_STREET1880_Y1880NAMEALT,MN_STREET1880_MINUS_ED_ED,MN_STREET1880_PLUS_ED_ED
247,W  142 ST,W  142 ST,,,,,G00010247,,653,653
248,EXTERIOR ST,EXTERIOR ST,,,,,G00010248,,653,653
249,EXTERIOR ST,EXTERIOR ST,,,,,G00010249,,654,654
250,EXTERIOR ST,EXTERIOR ST,,,,,G00010250,,654,654
251,EXTERIOR ST,EXTERIOR ST,,,,,G00010251,,654,None
252,EXTERIOR ST,EXTERIOR ST,,,,,G00010252,,654,None
253,EXTERIOR ST,EXTERIOR ST,,,,,G00010253,,654,654
254,EXTERIOR ST,EXTERIOR ST,,,,,G00010254,,654,654
255,EXTERIOR ST,EXTERIOR ST,,,,,G00010255,,654,None
256,EXTERIOR ST,EXTERIOR ST,,,,,G00010256,,654,None
257,W 153 ST,W 153 ST,180,186,181,187,G00010257,,654,654
258,EXTERIOR ST,EXTERIOR ST,,,,,G00010258,,654,654
259,EXTERIOR ST,EXTERIOR ST,,,,,G00010259,,654,654
260,SEVENTH AVE,SEVENTH AVE,2598,2618,2599,2619,G00010260,,536,654
261,SEVENTH AVE,SEVENTH AVE,,,,,G00010261,,536,654
262,W  154 ST,W  154 ST,200,210,201,211,G00010262,,536,536
263,EIGHTH AVE,EIGHTH AVE,487,497,,,G00010263,CENTRAL PARK WEST,529,0
264,W  110 ST,W  110 ST,,,201,241,G00010264,,0,536
265,W  110 ST,W  110 ST,300,310,301,311,G00010265,,529,529
266,EIGHTH AVE,EIGHTH AVE,2001,2047,2000,2048,G00010266,,529,536
267,,STONE ST,63,67,64,70,G00000001,,1,1
268,,GOLD ST,19,23,20,24,G00000002,,11,10
269,,E 109 ST,1,49,2,48,G00000003,,630,630
270,,EIGHTH AVE,385,401,382,400,G00000004,,353,411
271,,E 61 ST,401,445,400,444,G00000005,,619,622
272,,GREENWICH ST,752,770,753,771,G00000006,,237,236
273,,3 AVE,1230,1248,1231,1247,G00000007,,594,615
275,,SEVENTH AVE,118,132,119,133,G00000009,,330,187
276,FOURTH AVE,FOURTH AVE,1202,1210,,,G00000010,,589,589
277,NINTH AVE,COLUMBUS AVE,,,,,G00000011,,521,521
278,,FOURTH AVE,76,90,75,91,G00000012,,66,67
279,BOULEVARD,BOULEVARD,,,2602,2618,G00000013,BROADWAY,527,527
281,,WALL ST,8,20,9,21,G00000015,,9,9
284,,E HOUSTON ST,490,508,487,509,G00000018,,300,300
285,Lexington Ave,Lexington Ave,436,454,437,453,G00000019,,571,537
286,,W 84 ST,300,348,301,349,G00000020,,526,526
287,,BLEECKER ST,402,414,403,417,G00000021,,235,235
288,,LEROY ST,40,68,39,57,G00000022,,219,226
291,NINTH AVE,COLUMBUS AVE,1002,1008,1003,1009,G00000025,,529,529
292,,LENOX AVE,1089,1107,1090,1108,G00000026,,630,630
293,,3 AVE,2202,2218,2203,2217,G00000028,,641,642
294,,GRAND ST,162,172,165,171,G00000029,,54,52
295,,E 102 ST,101,127,100,126,G00000030,,625,625
297,,BROADWAY,1709,1729,1706,1728,G00000033,,505,505
299,,E 13 ST,35,61,36,62,G00000035,,181,181
300,,MADISON AVE,1234,1252,1239,1257,G00000036,,600,600
301,,RIVERSIDE DR,,,340,349,G00000037,,528,528
303,,E 86 ST,101,133,100,132,G00000039,,598,591
304,,W 25 ST,400,462,401,463,G00000040,,346,347
308,,LEXINGTON AVE,1244,1260,1241,1261,G00000044,,591,597
309,,BROADWAY ALY,,,,,G00000045,,474,474
310,,W 34 ST,100,170,101,171,G00000046,,293,294
311,TENTH AVE,TENTH AVE,1734,1756,1735,1757,G00000047,,532,532
312,,LAFAYETTE CT,1,7,2,8,G00000048,,67,67
313,BOULEVARD,BOULEVARD,,,2500,2520,G00000049,BROADWAY,527,527
314,,MULBERRY ST,291,309,292,310,G00000050,,64,64
316,,ELDRIDGE ST,121,145,134,166,G00000052,,209,209
317,,E 46 ST,301,353,300,350,G00000053,,548,546
