ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street73,Street74,Street75,Street76
45,2 PL,3 PL,4 PL,ALY,BRG,CHARLES,CLINTON,COLES,COLUMBIA,CT,GOLD,HAMILTON AVE,HENRY,HICKS,MANHASSET PL,PROSPECT,RAPELYE,SANDS,SUMMIT,WOODHULL,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,BEDFORD AVE,DIXONS ALY,FLUSHING AVE,FRANKLIN AVE,GOLD,GRAHAM,GREEN LN,HIGH,HUDSON AVE,KENT AVE,LITTLE NASSAU,MYRTLE AVE,NAVY,OLD BRG RD,PARK AVE,PROSPECT,SANDS,SKILLMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,BRG,CLASON AVE,FLUSHING AVE,GOLD,GRAHAM,GRAND AVE,HIGH,HUDSON AVE,MACK PL,MYRTLE AVE,NASSAU,NAVY,PARK AVE,RYERSON,SANDS,SCHENCK,SMITHS ALY,STEUBEN,WILLIAMSBURGH RD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,BRG,CONCORD,DUFFIELD,FLUSHING AVE,GOLD,HALL,HUDSON AVE,MYRTLE AVE,NASSAU,NASSAU PL,NAVY,PARK AVE,RYERSON,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,. JAMES PL,CONCORD,DEKALB AVE,FLEET PL,HALL,HUDSON AVE,JOHNSON,LAFAYETTE AVE,MYRTLE AVE,NAVY,PARK AVE,PRINCE,RYERSON,TILLARY,WASHINGTON AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,BRG,CLASON AVE,CONCORD,DEKALB AVE,DUFFIELD,FLATBUSH AVE X,FLEET PL,GOLD,GRAHAM,GRAND AVE,JOHNSON,KENT AVE,MYRTLE AVE,PRINCE,RYERSON,SCHENCK,STEUBEN,TILLARY,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,BEDFORD AVE,BRG,CONCORD,DEKALB AVE,DUFFIELD,FLATBUSH AVE X,FRANKLIN AVE,GOLD,KENT AVE,MYRTLE AVE,PARK AVE,SKILLMAN,TILLARY,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,AMITY,ATLANTIC AVE,BALTIC EXT,BEDFORD AVE,CLASON AVE,COLUMBIA,CONGRESS,DEKALB AVE,EMMET,FRANKLIN AVE,GRAHAM,HICKS,KANE,KENT AVE,KOSCIUSKO,KOSCIUSKO PL,LAFAYETTE AVE,PACIFIC,SKILLMAN,WARREN,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,AMITY,ATLANTIC AVE,CLASON AVE,CONGRESS,DEKALB AVE,GRAND AVE,HENRY,HICKS,LAFAYETTE AVE,PACIFIC,RYERSON,SCHENCK,STEUBEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,AMITY,BEDFORD AVE,CLASON AVE,CLIFTON PL,COLUMBIA,CONGRESS,FRANKLIN AVE,GRAND AVE,GREENE AVE,HICKS,LAFAYETTE AVE,LEXINGTON AVE,SKILLMAN,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,BALTIC,BEDFORD AVE,CLASON AVE,COLUMBIA,DOWNING,FRANKLIN AVE,GATES AVE,GRAND AVE,HICKS,IRVING PL,KANE,LEXINGTON AVE,QUINCY,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,BALTIC,BEDFORD AVE,CLASON AVE,CONGRESS,DOWNING,FRANKLIN AVE,GATES AVE,GRAND AVE,HENRY,HICKS,IRVING PL,KANE,MADISON,MONROE,ORMOND PL,PUTNAM AVE,WARREN,WARREN PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,AMITY,ATLANTIC AVE,BALTIC,BEDFORD AVE,BREVOORT PL,CLASON AVE,CLINTON,CONGRESS,DOWNING,FRANKLIN AVE,FULTON,GRAND AVE,HANCOCK,HENRY,HERKIMER,IRVING PL,JEFFERSON,KANE,LEFFERTS PL,ORMOND PL,PACIFIC,PUTNAM AVE,SPENCER PL,VERANDA PL,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,. JAMES PL,AMITY,ATLANTIC AVE,BALTIC,CAMBRIDGE PL,CLIFTON PL,CLINTON,CONGRESS,CT,GATES AVE,GRAND AVE,GREENE AVE,KANE,LAFAYETTE AVE,LEXINGTON AVE,PACIFIC,RYERSON,VERANDA PL,WARREN,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,. JAMES PL,ATLANTIC AVE,CAMBRIDGE PL,COLUMBIA,DE GRAW,FULTON,GATES AVE,GRAND AVE,IRVING,KANE,LEFFERTS PL,PUTNAM AVE,SEDGEWICK,UNDERHILL AVE,VAN BRUNT,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,17,18,3 AVE,4 AVE,5 AVE,COLUMBIA,DE GRAW,HAMILTON AVE,HICKS,KANE,PROSPECT AVE,TIFFANY PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,18,19,20,3 AVE,4 AVE,5 AVE,CHEEVER PL,DE GRAW,HICKS,KANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,17,18,19,20,21,22,23,24,5 AVE,6 AVE,CHEEVER PL,DE GRAW,HENRY,KANE,PROSPECT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,10 LN,11 AVE,17,18,19,20,21,22,23,6 AVE,7 AVE,8 AVE,9 AVE,CITY LINE,CLINTON,DE GRAW,HENRY,JACKSON PL,KANE,PROSPECT AVE,SACKETT,STRONG PL,WEBSTER PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,20,21,22,23,4 AVE,5 AVE,CLINTON,CT,DE GRAW,KANE,SACKETT,TOMPKINS PL,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,20,21,22,23,3 AVE,4 AVE,CLINTON,CT,HENRY,PRESIDENT,SACKETT,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,23,24,25,26,27,28,29,3 AVE,30,31,32,33,34,35,4 AVE,5 AVE,DE GRAW,SACKETT,VAN BRUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1 AVE,2 AVE,3 AVE,35,36,37,38,39,4 AVE,40,41,42,43,5 AVE,6 AVE,7 AVE,8 AVE,CARROLL,HAMILTON AVE,PRESIDENT,SACKETT,UNION,VAN BRUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1 AVE,2 AVE,3 AVE,4 AVE,43,44,45,46,47,48,49,5 AVE,50,51,52,53,54,55,56,57,58,59,6 AVE,60,7 AVE,8 AVE,COLUMBIA,DE GRAW,SACKETT,UNION,VAN BRUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,5 AVE,6 AVE,ADELPHI,ATLANTIC AVE,CARLTON AVE,COLUMBIA,CUMBERLAND,DEAN,FLATBUSH AVE,FORT GREENE PL,PACIFIC,PORTLAND AVE S,PRESIDENT,S OXFORD,UNION,VAN BRUNT,VANDERBILT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,. MARKS AVE,6 AVE,BERGEN,CARLTON AVE,COLUMBIA,DEAN,FLATBUSH AVE,HICKS,PARK PL,PRESIDENT,PROSPECT PL,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,. JOHNS PL,. MARKS AVE,8 AVE,9 AVE,BERGEN,BUTLER,CARLTON AVE,CARROLL,COLUMBIA,DEAN,DEGRAW,DOUGLASS,E PLZ,FLATBUSH AVE,GRAND ARMY PLZ,GRAND AVE,HICKS,LINCOLN PL,PARADE PL,PARK PL,PARK WAY,PRESIDENT,PROSPECT PARK,PROSPECT PL,SACKETT,STERLING PL,UNDERHILL AVE,UNION,VAN BRUNT,VANDERBILT AVE,W PLZ,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,ATLANTIC AVE,BERGEN,COLUMBIA,DE GRAW,DEAN,GRAND AVE,HENRY,HICKS,PACIFIC,SACKETT,UNDERHILL AVE,UNION,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,. MARKS AVE,ATLANTIC AVE,BERGEN,CARROLL,CLASON AVE,DEAN,GRAND AVE,HENRY,HICKS,PACIFIC,PRESIDENT,PROSPECT PL,SACKETT,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,. MARKS AVE,BERGEN,CARROLL,COLUMBIA,DEAN,GRAND AVE,HAMILTON AVE,PACIFIC,PARK PL,PROSPECT PL,SUMMIT,VAN BRUNT,WASHINGTON AVE,WOODHULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,. MARKS AVE,ATLANTIC AVE,BERGEN,BUTLER,CARROLL,CITY LINE,CLASON AVE,COLUMBIA,CROWN,DEAN,DEGRAW,DOUGLASS,FRANKLIN AVE,GRAND AVE,HENRY,HICKS,MONTGOMERY,PACIFIC,PARK PL,PARK WAY,PRESIDENT,PROSPECT PL,SUMMIT,UNION,WASHINGTON AVE,WOODHULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,BERGEN,BOERUM PL,COLUMBIA,CONGRESS,CT,HAMILTON AVE,HICKS,HOYT,RAPELYE,SMITH,SUMMIT,WARREN,WOODHULL,WYCKOFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,BALTIC,BERGEN,BOND,HAMILTON AVE,HENRY,HICKS,HOYT,MAN HASSET PL,NEVINS,RAPELYE,WARREN,WOODHULL,WYCKOFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1 PL,3 AVE,4 AVE,BALTIC,BERGEN,CARROLL,CLINTON,CT,HENRY,NEVINS,PRESIDENT,WARREN,WYCKOFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1 LN,1 PL,2 PL,3 AVE,3 PL,4 AVE,4 PL,BALTIC,BUTLER,CARROLL,CLINTON,DEGRAW,DENTON PL,DOUGLASS,HENRY,MACOMB,NEVINS,PRESIDENT,SACKETT,UNION,WHITWELL PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1 PL,2 PL,3 PL,4 PL,BALTIC,BOND,BUTLER,CLINTON,CT,HARRISON,HOYT,SMITH,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,BUTLER,CT,DEGRAW,DOUGLASS,FLUSHING AVE,HALL,HOYT,MYRTLE AVE,PARK AVE,RYERSON WALK,SACKETT,SMITH,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,CLINTON AVE,CT,DEGRAW,FLUSHING AVE,HOYT,MYRTLE AVE,PARK AVE,PRESIDENT,SACKETT,SMITH,UNION,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1 PL,2 LN,CARROLL,CLASSON AVE,CT,EMERSON PL,FLUSHING AVE,GRAND AVE,HOYT,MYRTLE AVE,PARK AVE,PRESIDENT,RYERSON WALK,SMITH,STEUBEN,TAAFFE PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1 PL,2 LN,2 PL,3 LN,3 PL,4 LN,4 PL,5 LN,BOND,CLASSON AVE,CT,EMERSON PL,HOYT,MYRTLE AVE,PARK AVE,SMITH,STEUBEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,BALTIC,BOND,BUTLER,DEGRAW,DOUGLASS,GRAND AVE,HOYT,MYRTLE AVE,PARK AVE,RYERSON WALK,SACKETT,STEUBEN,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1 LN,2 LN,3 AVE,BALTIC,BOND,BUTLER,CARROLL,DEGRAW,DOUGLASS,FLUSHING AVE,HOYT,KENT AVE,LITTLE NASSAU,MYRTLE AVE,NEVINS,PARK AVE,PRESIDENT,SACKETT,TAAFFE PL,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,BEDFORD,BEDFORD AVE,BRG,DUFFIELD,FLEET PL,FLUSHING AVE,FRANKLIN AVE,GOLD,HUDSON AVE,JOHNSON,KENT AVE,LITTLE NASSAU,MYRTLE AVE,NAVY,PARK AVE,PRINCE,RAYMOND,SKILLMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,AUBURN PL,BEDFORD,BOLIVAR,CANTON,DIVISION,FLEET,FLUSHING AVE,FRANKLIN AVE,HUDSON AVE,JOHNSON,KENT AVE,MYRTLE AVE,NAVY,NAVY YARD,PARK AVE,RAYMOND,SYCAMORE,TILLARY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,BEDFORD AVE,BOLIVAR,BRG,DUFFIELD,DUFFIELD TER,FAIR,FLEET,FLEET PL,FRANKLIN AVE,GOLD,HUDSON AVE,MYRTLE AVE,PARK AVE,PRINCE,SKILLMAN,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,BRG,DE KALB AVE,DEBEVOISE PL,DEKALB AVE,DUFFIELD,ELM PL,FLEET,FLEET PL,FULTON,FULTON PL,GOLD,HALL,HOYT,HUDSON AVE,LAFAYETTE,MYRTLE AVE,PRINCE,RYERSON,RYERSON WALK,WASHINGTON AVE,WILLOUGHBY,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
