Name,Full_Name,Name1880,AltName,Left_Low,Left_High,Right_Low,Right_High,ED_Minus,ED_Plus,ObjectID,JoinId
W 131,W 131,W 131,NA,200,276,201,275,536,536,8429,G00018429
W 132,W 132,W 132,NA,100,166,101,161,654,654,8430,G00018430
W 132,W 132,W 132,NA,200,276,201,281,536,536,8431,G00018431
W 133,W 133,W 133,NA,100,172,101,173,654,654,8432,G00018432
W 133,W 133,W 133,NA,200,268,201,269,536,536,8433,G00018433
W 134,W 134,W 134,NA,100,196,101,195,654,654,8434,G00018434
W 134,W 134,W 134,NA,200,268,201,269,536,536,8435,G00018435
W 135,W 135,W 135,NA,100,190,101,189,654,654,8436,G00018436
W 135,W 135,W 135,NA,200,268,201,269,536,536,8437,G00018437
W 136,W 136,W 136,NA,100,174,101,169,654,654,8438,G00018438
W 136,W 136,W 136,NA,200,270,201,271,536,536,8439,G00018439
7 AVE,7 AVE,7 AVE,NA,1898,1910,1899,1911,536,639,8440,G00018440
W 118,W 118,W 118,NA,101,159,100,160,639,639,8441,G00018441
W 118,W 118,W 118,NA,200,208,201,209,536,536,8442,G00018442
RIVERSIDE DR,RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,250,258,527,527,8443,G00018443
W 98,W 98,W 98,NA,300,318,301,319,527,527,8444,G00018444
RIVERSIDE DR,RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,260,269,527,527,8445,G00018445
W 99,W 99,W 99,NA,300,316,301,317,527,528,8446,G00018446
RIVERSIDE DR,RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,270,278,528,528,8447,G00018447
W 100,W 100,W 100,NA,300,318,301,319,528,528,8448,G00018448
RIVERSIDE DR,RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,280,289,528,528,8449,G00018449
W 101,W 101,W 101,NA,300,332,301,333,528,528,8450,G00018450
RIVERSIDE DR,RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,291,299,528,528,8451,G00018451
W 98,W 98,W 98,NA,NA,NA,NA,NA,527,527,8452,G00018452
W 118,W 118,W 118,NA,NA,NA,NA,NA,529,529,8454,G00018454
RIVERSIDE DR,NA,RIVERSIDE DR,NA,NA,NA,NA,NA,529,529,8455,G00018455
RIVERSIDE DR,RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,NA,NA,529,529,8456,G00018456
RIVERSIDE DR,RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,475,489,529,529,8457,G00018457
RIVERSIDE DR,RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,491,549,530,530,8458,G00018458
W 130,NA,W 130,NA,NA,NA,NA,NA,530,531,8459,G00018459
W 130,NA,W 130,NA,NA,NA,NA,NA,530,531,8460,G00018460
12 AVE,NA,12 AVE,NA,NA,NA,NA,NA,530,530,8461,G00018461
W 139,W 139,W 139,NA,450,474,451,475,531,531,8462,G00018462
CONVENT AVE,CONVENT AVE,CONVENT AVE,NA,220,226,221,227,531,531,8463,G00018463
CONVENT AVE,CONVENT AVE,CONVENT AVE,NA,228,250,223,251,531,531,8464,G00018464
W 138,W 138,W 138,NA,NA,NA,NA,NA,531,531,8465,G00018465
PENTZ,PENTZ,PENTZ,NA,NA,NA,NA,NA,531,531,8466,G00018466
W 138,W 138,W 138,NA,NA,NA,NA,NA,531,531,8467,G00018467
9 AVE,9 AVE,9 AVE,NA,NA,NA,NA,NA,531,531,8468,G00018468
NA,NA,NA,NA,2,62,1,63,532,532,8469,G00018469
W 145,W 145,W 145,NA,400,404,401,405,532,532,8470,G00018470
W 145,W 145,W 145,NA,406,418,407,419,532,532,8471,G00018471
W 146,W 146,W 146,NA,400,478,401,475,532,532,8472,G00018472
W 147,W 147,W 147,NA,400,472,401,471,532,532,8473,G00018473
W 148,W 148,W 148,NA,400,474,401,469,532,532,8474,G00018474
W 149,W 149,W 149,NA,400,466,401,471,532,532,8475,G00018475
W 150,W 150,W 150,NA,400,478,401,479,532,532,8476,G00018476
W 151,W 151,W 151,NA,400,466,401,451,532,532,8477,G00018477
W 152,W 152,W 152,NA,400,474,401,481,532,532,8478,G00018478
W 154,W 154,W 154,NA,350,374,351,375,532,532,8479,G00018479
9 AVE,9 AVE,9 AVE,NA,61,79,60,80,532,532,8480,G00018480
9 AVE,9 AVE,9 AVE,NA,85,89,NA,NA,532,532,8481,G00018481
12 AVE,12 AVE,12 AVE,NA,NA,NA,NA,NA,529,529,8482,G00018482
W 131,W 131,W 131,NA,NA,NA,NA,NA,531,531,8483,G00018483
W 132,W 132,W 132,NA,700,700,701,701,531,531,8484,G00018484
W 133,W 133,W 133,NA,NA,NA,NA,NA,531,531,8485,G00018485
W 134,W 134,W 134,NA,NA,NA,NA,NA,531,531,8486,G00018486
W 132,W 132,W 132,NA,552,560,553,561,531,531,8487,G00018487
NICHOLAS AVE,NICHOLAS AVE,NICHOLAS AVE,NA,553,619,554,620,531,531,8488,G00018488
W 136,W 136,W 136,NA,500,540,501,541,531,531,8491,G00018491
W 137,W 137,W 137,NA,NA,NA,NA,NA,531,531,8492,G00018492
BLVD,BLVD,BLVD,BROADWAY,3169,3187,NA,NA,530,530,8494,G00018494
BLVD,BLVD,BLVD,BROADWAY,NA,NA,3170,3188,530,530,8495,G00018495
BLVD,BLVD,BLVD,BROADWAY,3189,3219,3190,3220,530,530,8496,G00018496
BLVD,BLVD,BLVD,BROADWAY,3221,3239,3222,3240,531,531,8497,G00018497
BLVD,BLVD,BLVD,BROADWAY,3241,3257,3242,3258,531,531,8498,G00018498
BLVD,BLVD,BLVD,BROADWAY,3259,3279,3260,3280,531,531,8499,G00018499
BLVD,BLVD,BLVD,BROADWAY,3281,3293,3282,3294,531,531,8500,G00018500
BLVD,BLVD,BLVD,BROADWAY,3295,3311,3296,3312,531,531,8501,G00018501
BLVD,BLVD,BLVD,BROADWAY,3313,3337,3314,3338,531,531,8502,G00018502
W 129,W 129,W 129,NA,550,554,551,555,530,531,8504,G00018504
W 129,W 129,W 129,NA,600,616,601,617,530,531,8505,G00018505
W 130,W 130,W 130,NA,528,580,529,579,531,531,8506,G00018506
W 130,W 130,W 130,NA,600,654,601,655,531,531,8507,G00018507
W 131,W 131,W 131,NA,556,578,557,579,531,531,8508,G00018508
W 131,W 131,W 131,NA,600,652,601,653,531,531,8509,G00018509
W 132,W 132,W 132,NA,600,638,601,639,531,531,8510,G00018510
W 133,W 133,W 133,NA,554,560,NA,NA,531,531,8511,G00018511
W 133,W 133,W 133,NA,600,640,601,641,531,531,8512,G00018512
W 134,W 134,W 134,NA,600,640,601,641,531,531,8513,G00018513
12 AVE,NA,12 AVE,NA,NA,NA,2279,2281,530,531,8514,G00018514
11 AVE,11 AVE,11 AVE,BLVD,3381,3397,3382,3398,531,531,8516,G00018516
BLOOMINGDALE RD,BLOOMINGDALE RD,BLOOMINGDALE RD,NA,2,18,1,17,531,531,8517,G00018517
12 AVE,12 AVE,12 AVE,NA,NA,NA,2361,2369,531,531,8518,G00018518
12 AVE,12 AVE,12 AVE,NA,NA,NA,587,596,531,531,8520,G00018520
11 AVE,11 AVE,11 AVE,NA,3399,3419,3400,3420,531,531,8522,G00018522
