Ward,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
7,G00001161,HICKORY,LEXINGTON AVE,HICKORY,NA,NA,NA,NA,NA,1169,geo,IN
10,G00001165,NA,3 AVE,NA,NA,NA,NA,NA,NA,1173,geo,IN
9,G00001168,NA,MARCY AVE,NA,NA,NA,NA,NA,NA,1176,geo,IN
5,G00001173,NA,JOHN,NA,NA,NA,NA,NA,NA,1181,geo,IN
8,G00001179,NA,7 AVE,NA,NA,NA,NA,NA,NA,1187,geo,IN
2,G00001191,NA,PLYMOUTH,NA,NA,NA,NA,NA,NA,1199,geo,IN
7,G00001192,NA,WHIPPLE,NA,NA,NA,NA,NA,NA,1200,geo,IN
9,G00001199,NA,FULTON,NA,NA,NA,NA,NA,NA,1207,geo,IN
9,G00001202,NA,SARATOGA AVE,NA,NA,NA,NA,NA,NA,1210,geo,IN
9,G00001203,NA,TROY AVE,NA,NA,NA,NA,NA,NA,1211,geo,IN
9,G00001206,NA,TROY AVE,NA,NA,NA,NA,NA,NA,1214,geo,IN
9,G00001207,NA,PROSPECT PL,NA,NA,NA,NA,NA,NA,1215,geo,IN
11,G00001212,NA,FULTON,NA,NA,NA,NA,NA,NA,1220,geo,IN
6,G00001214,NA,CLINTON,NA,NA,NA,NA,NA,NA,1222,geo,IN
11,G00001226,NA,FULTON,NA,NA,NA,NA,NA,NA,1234,geo,IN
5,G00001231,NA,HUDSON AVE,NA,NA,NA,NA,NA,NA,1239,geo,IN
9,G00001233,NA,FRANKLIN AVE,NA,NA,NA,NA,NA,NA,1241,geo,IN
7,G00001234,NA,MARCY AVE,NA,NA,NA,NA,NA,NA,1242,geo,IN
9,G00001238,NA,UNION,NA,NA,NA,NA,NA,NA,1246,geo,IN
7,G00001241,NA,PENN,NA,NA,NA,NA,NA,NA,1249,geo,IN
9,G00001258,NA,ALBANY AVE,NA,NA,NA,NA,NA,NA,1266,geo,IN
8,G00001266,NA,19,NA,NA,NA,NA,NA,NA,1274,geo,IN
9,G00001267,NA,NOSTRAND AVE,NA,NA,NA,NA,NA,NA,1275,geo,IN
8,G00001275,NA,5 AVE,NA,NA,NA,NA,NA,NA,1283,geo,IN
9,G00001280,NA,SCHNECTADY AVE,NA,NA,NA,NA,NA,NA,1288,geo,IN
8,G00001286,NA,2 AVE,NA,NA,NA,NA,NA,NA,1294,geo,IN
9,G00001288,PERRY AVE,BEDFORD AVE,PERRY AVE,NA,NA,NA,NA,NA,1296,geo,IN
10,G00001290,NA,SCHERMERHORN,NA,NA,NA,NA,NA,NA,1298,geo,IN
9,G00001291,NA,VANDERBILT AVE,NA,NA,NA,NA,NA,NA,1299,geo,IN
7,G00001293,NA,FLUSHING AVE,NA,NA,NA,NA,NA,NA,1301,geo,IN
11,G00001307,NA,FULTON,NA,NA,NA,NA,NA,NA,1315,geo,IN
9,G00001309,NA,SCHNECTADY AVE,NA,NA,NA,NA,NA,NA,1317,geo,IN
8,G00001313,NA,56,NA,NA,NA,NA,NA,NA,1321,geo,IN
9,G00001314,NA,LEWIS AVE,NA,NA,NA,NA,NA,NA,1322,geo,IN
9,G00001318,PERRY AVE,BEDFORD AVE,PERRY AVE,NA,NA,NA,NA,NA,1326,geo,IN
8,G00001323,NA,CARROLL,NA,NA,NA,NA,NA,NA,1331,geo,IN
8,G00001335,NA,UNION,NA,NA,NA,NA,NA,NA,1343,geo,IN
9,G00001342,NA,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,1350,geo,IN
8,G00001343,NA,5 AVE,NA,NA,NA,NA,NA,NA,1351,geo,IN
3,G00001354,NA,PIERREPONT,NA,NA,NA,NA,NA,NA,1362,geo,IN
9,G00001373,NA,BERGEN,NA,NA,NA,NA,NA,NA,1381,geo,IN
9,G00001375,NA,MADISON,NA,NA,NA,NA,NA,NA,1383,geo,IN
9,G00001400,NA,NA,NA,NA,NA,NA,NA,NA,1408,geo,IN
8,G00001401,NA,58,NA,NA,NA,NA,NA,NA,1409,geo,IN
9,G00001404,NA,HOWARD AVE,NA,NA,NA,NA,NA,NA,1412,geo,IN
8,G00001406,NA,6 AVE,NA,NA,NA,NA,NA,NA,1415,geo,IN
7,G00001410,NA,GRAND AVE,NA,NA,NA,NA,NA,NA,1419,geo,IN
9,G00001426,NA,NOSTRAND AVE,NA,NA,NA,NA,NA,NA,1436,geo,IN
10,G00001430,NA,HOYT,NA,NA,NA,NA,NA,NA,1440,geo,IN
7,G00001447,NA,WALTON,NA,NA,NA,NA,NA,NA,1457,geo,IN
9,G00001450,NA,KINGSTON AVE,NA,NA,NA,NA,NA,NA,1460,geo,IN
9,G00001460,NA,TROY AVE,NA,NA,NA,NA,NA,NA,1470,geo,IN
10,G00001471,NA,BOND,NA,NA,NA,NA,NA,NA,1481,geo,IN
9,G00001473,NA,PATCHEN AVE,NA,NA,NA,NA,NA,NA,1483,geo,IN
6,G00001476,NA,VAN BRUNT,NA,NA,NA,NA,NA,NA,1486,geo,IN
9,G00001482,NA,FRANKLIN AVE,NA,NA,NA,NA,NA,NA,1492,geo,IN
8,G00001488,NA,28,NA,NA,NA,NA,NA,NA,1498,geo,IN
8,G00001490,NA,4 AVE,NA,NA,NA,NA,NA,NA,1500,geo,IN
9,G00001492,NA,STERLING PL,NA,NA,NA,NA,NA,NA,1502,geo,IN
9,G00001510,NA,STUYVESANT AVE,NA,NA,NA,NA,NA,NA,1520,geo,IN
9,G00001514,NA,RALPH AVE,NA,NA,NA,NA,NA,NA,1524,geo,IN
9,G00001521,NA,MARION,NA,NA,NA,NA,NA,NA,1531,geo,IN
3,G00001525,NA,JORALEMON,NA,NA,NA,NA,NA,NA,1535,geo,IN
8,G00001528,NA,W PROSPECT,NA,NA,NA,NA,NA,NA,1538,geo,IN
10,G00001532,NA,SMITH,NA,NA,NA,NA,NA,NA,1542,geo,IN
8,G00001533,NA,57,NA,NA,NA,NA,NA,NA,1543,geo,IN
9,G00001540,NA,HART,NA,NA,NA,NA,NA,NA,1550,geo,IN
9,G00001542,NA,NOSTRAND AVE,NA,NA,NA,NA,NA,NA,1552,geo,IN
8,G00001549,NA,7 AVE,NA,NA,NA,NA,NA,NA,1559,geo,IN
9,G00001551,NA,NEW YORK AVE,NA,NA,NA,NA,NA,NA,1561,geo,IN
9,G00001561,NA,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,1571,geo,IN
9,G00001565,NA,UTICA AVE,NA,NA,NA,NA,NA,NA,1575,geo,IN
9,G00001567,NA,ROCHESTER AVE,NA,NA,NA,NA,NA,NA,1577,geo,IN
8,G00001581,NA,2 AVE,NA,NA,NA,NA,NA,NA,1591,geo,IN
9,G00001592,NA,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,1602,geo,IN
8,G00001596,NA,8 AVE,NA,NA,NA,NA,NA,NA,1606,geo,IN
8,G00001599,NA,8 AVE,NA,NA,NA,NA,NA,NA,1609,geo,IN
8,G00001602,NA,7 AVE,NA,NA,NA,NA,NA,NA,1612,geo,IN
8,G00001608,NA,4 AVE,NA,NA,NA,NA,NA,NA,1618,geo,IN
10,G00001609,NA,HOYT,NA,NA,NA,NA,NA,NA,1619,geo,IN
8,G00001612,NA,32,NA,NA,NA,NA,NA,NA,1622,geo,IN
8,G00001613,NA,4 AVE,NA,NA,NA,NA,NA,NA,1623,geo,IN
9,G00001616,NA,KOSCIUSZKO,NA,NA,NA,NA,NA,NA,1626,geo,IN
6,G00001627,NA,RICHARD,NA,NA,NA,NA,NA,NA,1637,geo,IN
8,G00001629,NA,14,NA,NA,NA,NA,NA,NA,1639,geo,IN
9,G00001631,NA,HULL,NA,NA,NA,NA,NA,NA,1641,geo,IN
11,G00001640,NA,LAFAYETTE AVE,NA,NA,NA,NA,NA,NA,1650,geo,IN
8,G00001648,NA,7 AVE,NA,NA,NA,NA,NA,NA,1658,geo,IN
7,G00001663,NA,THORNTON,NA,NA,NA,NA,NA,NA,1673,geo,IN
9,G00001664,NA,UNDERHILL AVE,NA,NA,NA,NA,NA,NA,1674,geo,IN
9,G00001670,NA,STUYVESANT AVE,NA,NA,NA,NA,NA,NA,1680,geo,IN
6,G00001688,NA,HUNTINGTON,NA,NA,NA,NA,NA,NA,1698,geo,IN
8,G00001690,NA,20,NA,NA,NA,NA,NA,NA,1700,geo,IN
9,G00001700,NA,PACIFIC,NA,NA,NA,NA,NA,NA,1710,geo,IN
5,G00001703,NA,GOLD,NA,NA,NA,NA,NA,NA,1713,geo,IN
9,G00001715,NA,NOSTRAND AVE,NA,NA,NA,NA,NA,NA,1725,geo,IN
11,G00001717,NA,CLERMONT AVE,NA,NA,NA,NA,NA,NA,1728,geo,IN
9,G00001720,NA,MARION,NA,NA,NA,NA,NA,NA,1731,geo,IN
3,G00001724,NA,HENRY,NA,NA,NA,NA,NA,NA,1735,geo,IN
9,G00001727,NA,LINCOLN PL,NA,NA,NA,NA,NA,NA,1738,geo,IN
7,G00001732,NA,LYNCH,NA,NA,NA,NA,NA,NA,1743,geo,IN
8,G00001734,NA,4 AVE,NA,NA,NA,NA,NA,NA,1745,geo,IN
9,G00001746,NA,MYRTLE AVE,NA,NA,NA,NA,NA,NA,1757,geo,IN
9,G00001753,NA,MONROE,NA,NA,NA,NA,NA,NA,1764,geo,IN
9,G00001755,NA,ROCHESTER AVE,NA,NA,NA,NA,NA,NA,1766,geo,IN
6,G00001759,NA,HENRY,NA,NA,NA,NA,NA,NA,1770,geo,IN
10,G00001774,NA,SCHERMERHORN,NA,NA,NA,NA,NA,NA,1786,geo,IN
10,G00001779,NA,LIVINGSTON,NA,NA,NA,NA,NA,NA,1791,geo,IN
