Name,Name1850,AltName,Ward_Left,Left_Low,Left_High,Right_Low,Right_High,ObjectID,JoinId,Full_Name,Ward_Right
6 AVE,6 AVE,NA,9,107,131,114,130,433,G00000171,NA,15
YORK AVE,YORK AVE,NA,19,NA,NA,NA,NA,437,G00000175,NA,19
E 8,E 8,CLINTON PL,15,12,28,13,29,438,G00000176,NA,15
10 AVE,10 AVE,NA,12,NA,NA,NA,NA,440,G00000178,10 AVE,12
MORNINGSIDE AVE,MORNINGSIDE AVE,NA,12,NA,NA,NA,NA,442,G00000180,NA,12
9 AVE,9 AVE,NA,19,723,725,722,724,443,G00000181,NA,19
NASSAU,NASSAU,NA,2,139,151,138,150,444,G00000182,NA,2
E 52,E 52,NA,19,NA,NA,NA,NA,445,G00000183,NA,19
E 23,E 23,NA,18,55,85,54,86,446,G00000184,NA,18
CHRYSTIE,CHRYSTIE,NA,17,1,15,2,16,448,G00000186,NA,17
10 AVE,10 AVE,NA,16,427,439,424,438,450,G00000188,NA,16
PEARL,PEARL,NA,1,33,53,32,52,453,G00000192,NA,1
1 AVE,1 AVE,NA,19,981,999,NA,NA,454,G00000193,NA,19
E 89,E 89,NA,12,NA,NA,NA,NA,455,G00000194,NA,12
2 AVE,2 AVE,NA,17,129,143,128,142,456,G00000195,NA,17
AMSTERDAM AVE,AMSTERDAM AVE,NA,19,NA,NA,NA,NA,459,G00000198,NA,19
E 7,E 7,NA,17,173,181,174,182,460,G00000199,NA,17
HUDSON,HUDSON,NA,8,323,339,324,344,461,G00000200,NA,8
FRONT,FRONT,NA,1,78,94,77,93,463,G00000202,NA,1
E 62,E 62,NA,19,NA,NA,NA,NA,466,G00000205,NA,19
W 46,W 46,NA,19,140,142,139,141,467,G00000206,NA,19
HESTER,HESTER,NA,10,80,94,79,93,471,G00000210,NA,10
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,472,G00000211,NA,12
E 112,E 112,NA,12,NA,NA,NA,NA,473,G00000212,NA,12
ESSEX,ESSEX,NA,10,97,123,98,132,476,G00000215,NA,10
OLIVER,OLIVER,NA,4,16,32,13,33,478,G00000217,NA,4
