OBJECTID,MN_STREET1850_FULL_STREE,MN_STREET1850_Y1850NAMESTREET,MN_STREET1850_Y1850LEFT_LOW,MN_STREET1850_Y1850LEFT_HIGH,MN_STREET1850_Y1850RIGHT_LOW,MN_STREET1850_Y1850RIGHT_HIGH,MN_STREET1850_JOINID,MN_STREET1850_Y1850NAMEALT,Ward_Right_1850,Ward Left 1850
5819,,6 AVE,321,337,326,338,G00005710,,18,16
5821,,E 19 ST,53,77,52,80,G00005712,,18,18
5822,,SEVENTH AVE,,,,,G00005713,,19,19
5823,,SUTTON PL S,,,,,G00005714,,19,19
5824,,HORATIO ST,,,,,G00005715,,9,9
5826,,W 205 ST,,,,,G00005717,,12,12
5827,,E 65 ST,,,,,G00005718,,19,19
5830,,W 151 ST,,,,,G00005721,,12,12
5834,,3 AVE,110,128,109,127,G00005725,,17,17
5835,,W 170 ST,,,,,G00005726,,12,12
5836,,W 58 ST,198,220,,,G00005727,,19,19
5839,,W 183 ST,,,,,G00005730,,12,12
5840,,ELEVENTH AVE,267,303,268,304,G00005731,,16,16
5844,KINGS BRIDGE RD,BROADWAY,,,,,G00005736,,12,12
5845,,SULLIVAN ST,58,92,57,93,G00005737,,8,8
5846,,SPRING ST,128,142,127,141,G00005738,,8,8
5849,,E 28 ST,1,19,2,20,G00005741,,18,18
5850,,W 49 ST,67,117,68,116,G00005742,,19,19
5851,,EIGHTH AVE,233,251,232,250,G00005743,,16,16
5852,,LEX AVE,534,550,535,551,G00005744,,19,19
5854,,W 175 ST,,,,,G00005746,,12,12
5855,,9 AVE,681,697,678,694,G00005747,,19,19
5859,,6 AVE,667,683,666,682,G00005751,,18,16
5860,,SEVENTH AVE,524,540,521,539,G00005752,,19,19
5861,,WILLIAM ST,65,77,66,78,G00005754,,1,1
5864,,E 42 ST,,,,,G00005757,,19,19
5866,,E 69 ST,,,,,G00005759,,19,19
5867,,RYDERS ALY,2,12,1,17,G00005760,,2,2
5868,,E 22 ST,1,3,2,4,G00005761,,18,18
5869,,E TENTH ST,427,439,426,440,G00005762,,11,11
5870,,HESTER ST,134,146,135,151,G00005763,,10,10
5872,,FIFTH AVE,,,,,G00005765,,19,19
5875,,EIGHTH AVE,103,123,100,122,G00005768,,16,16
5877,,TENTH AVE,,,,,G00005770,,19,19
5878,,FIFTH AVE,,,,,G00005771,,12,12
5879,,2 AVE,,,,,G00005772,,12,12
5880,,E 64 ST,,,,,G00005773,,19,19
5881,,W 48 ST,238,262,239,263,G00005774,,19,19
5882,,AMSTERDAM AVE,,,960,976,G00005775,,19,19
5883,,GRAND ST,390,406,391,407,G00005776,,13,13
5885,,ESSEX ST,159,183,156,184,G00005778,,17,17
5886,,E SIXTH ST,38,62,41,61,G00005779,,17,17
5887,,GRAND ST,484,502,,,G00005780,,7,13
5888,,FRONT ST,182,200,177,199,G00005781,,2,2
5890,,FIFTH AVE,,,,,G00005783,,12,12
5891,,W 51 ST,2,66,1,65,G00005784,,19,19
5895,,ASTOR PL,,,,,G00005788,,15,15
5896,,E 52 ST,,,,,G00005789,,19,19
5897,,VARICK ST,81,91,80,90,G00005790,,8,8
5898,,E 30 ST,1,23,2,24,G00005791,,18,18
5899,,2 AVE,,,,,G00005792,,19,19
5900,,MADISON ST,301,315,294,314,G00005793,,7,7
5902,,E 124 ST,,,,,G00005795,,12,12
5906,,3 AVE,,,,,G00005799,,12,12
5908,,W 93 ST,,,,,G00005803,,12,12
5910,,DIVISION ST,126,144,115,135,G00005805,,7,10
5911,,BROOME ST,389,397,390,398,G00005806,,14,14
5912,,FIFTH AVE,,,,,G00005807,,19,19
5913,,JANE ST,36,58,37,59,G00005808,,9,9
5915,,SEVENTH AVE,228,244,227,245,G00005810,,16,16
5916,,W 53 ST,,,1,59,G00005811,,19,19
5917,,E 39 ST,,,188,192,G00005812,,18,18
5919,,E 61 ST,,,,,G00005814,,19,19
5920,,THOMPSON ST,123,163,120,162,G00005815,,8,8
5921,,W END AVE,,,,,G00005817,,12,12
5922,,COLUMBUS AVE,,,,,G00005819,,19,19
5923,,CANAL ST,15,31,16,30,G00005820,,14,6
5924,,RIVINGTON ST,164,178,165,179,G00005822,,13,11
5925,KINGS BRIDGE RD,BROADWAY,,,,,G00005823,,12,12
5926,,BROADWAY,1259,1267,1258,1270,G00005824,,19,19
5929,,W 29 ST,302,358,303,359,G00005827,,None,None
5930,,HUDSON ST,63,69,62,70,G00005828,,5,5
5931,,W 40 ST,500,524,501,525,G00005829,,19,16
5932,,CHURCH ST,128,142,,,G00005830,,5,5
5935,,W 47 ST,180,248,179,247,G00005833,,19,19
5936,,E 11 ST,28,62,27,61,G00005834,,17,17
5937,,BLEECKER ST,2,14,1,11,G00005835,,15,15
5938,,CATHERINE SLIP,1,11,2,10,G00005836,,4,7
5939,,3 AVE,,,,,G00005837,,12,12
5940,,W 55 ST,,,,,G00005838,,19,19
5941,,E 30 ST,53,81,52,82,G00005839,,18,18
5942,,PARK AVE,,,,,G00005840,,19,19
5943,,PARK AVE,,,,,G00005841,,19,19
5944,,E 69 ST,,,,,G00005842,,19,19
5945,,W 184 ST,,,,,G00005843,,12,12
5947,,SEVENTH AVE,422,440,421,439,G00005845,,16,16
5950,,EXCHANGE PL,14,32,,,G00005848,,1,1
5951,,GREENWICH ST,806,822,807,823,G00005849,,9,9
5952,,6 AVE,927,931,926,930,G00005850,,19,19
5954,,MILL LN,,,,,G00005852,,1,1
5956,,W 24 ST,258,332,259,333,G00005854,,16,16
